zip,lat,lon,urban,records_2020,records_2021
79546,32.8918183,-100.4982064,0,0,0
79547,33.1977444,-99.9054432,0,0,0
79548,33.0497685,-99.9189632,0,0,0
79549,32.8875888,-100.8413894,1,0,0
79553,32.9409173,-99.8509651,1,0,0
79556,32.4587865,-100.357939,1,0,0
79560,32.6652353,-100.2130458,0,0,0
79561,32.5154914,-100.1951076,0,0,0
79562,32.2362506,-99.8664513,0,0,0
79563,32.4158231,-99.9062304,1,0,0
15783,40.6092143,-79.3432191,0,0,0
15784,41.0244256,-79.1412656,0,0,0
15821,41.3509581,-78.3685142,0,0,0
15823,41.2598761,-78.7156799,1,0,0
15824,41.2508333,-78.8411858,1,0,0
15825,41.1748225,-79.0342232,1,0,0
15827,41.3191592,-78.5216535,0,0,0
15828,41.3039978,-79.2099351,0,0,0
15829,41.1697415,-79.2020684,0,0,0
15832,41.3565133,-78.1972792,0,0,0
6390,41.2802468,-71.946653,0,0,0
10002,40.7157758,-73.9862109,1,0,0
10003,40.7318292,-73.9891809,1,0,0
10004,40.6888735,-74.0182129,1,0,0
10006,40.709627,-74.0129717,1,0,0
10007,40.7138577,-74.0077768,1,0,0
10009,40.7263986,-73.9786335,1,0,0
61519,40.4600699,-90.0889558,0,0,0
53093,43.6528737,-87.9479503,0,0,0
61520,40.5390259,-90.0232208,1,0,0
53095,43.3896296,-88.1580044,1,0,0
61523,40.911951,-89.5377569,1,0,0
61524,40.4913214,-90.0347349,0,0,0
53097,43.2420489,-88.0098232,1,0,0
61525,40.8484774,-89.6690562,1,0,0
61526,40.9229008,-89.6199569,0,0,0
61529,40.7820179,-89.9376082,1,0,0
53103,42.8814861,-88.2125332,1,0,0
53104,42.547457,-88.0392795,1,0,0
61530,40.714124,-89.2617317,1,0,0
61531,40.6825045,-90.0367942,0,0,0
61532,40.3394872,-89.8187894,0,0,0
61533,40.5863741,-89.8424993,0,0,0
61534,40.4144385,-89.6660761,0,0,0
61535,40.5788636,-89.5165136,1,0,0
61536,40.6896796,-89.7880298,1,0,0
53105,42.6635659,-88.2802677,1,0,0
53108,42.815148,-87.9429858,1,0,0
53110,42.9505048,-87.8608826,1,0,0
61537,41.1191661,-89.4714417,0,0,0
48735,43.6675926,-83.2708828,0,0,0
48737,44.5456875,-83.6852056,0,0,0
48738,44.5504286,-83.3311906,1,0,0
42349,37.4303105,-86.6771919,0,0,0
39503,30.4746116,-89.1528784,1,0,0
42350,37.4550117,-87.1869129,0,0,0
48739,44.3704526,-83.8449338,0,0,0
39507,30.4004837,-89.0344657,1,0,0
48740,44.6638892,-83.372024,0,0,0
42351,37.8985769,-86.8666326,0,0,0
48741,43.4024789,-83.1798728,0,0,0
42352,37.5148105,-87.0858998,0,0,0
42354,37.3779779,-86.9305677,1,0,0
42355,37.8563098,-86.9936408,1,0,0
42356,37.6932548,-87.3241087,0,0,0
48742,44.7427235,-83.4356661,0,0,0
48743,44.4411235,-83.863151,0,0,0
42361,37.517166,-86.6839408,0,0,0
1103,42.1041063,-72.5920275,1,0,0
1104,42.1340094,-72.5653781,1,0,0
1105,42.0999578,-72.5807651,1,0,0
1106,42.048054,-72.569275,1,0,0
1107,42.1210603,-72.6070681,1,0,0
1108,42.0806917,-72.5607907,1,0,0
1109,42.1196737,-72.5497259,1,0,0
1118,42.0945866,-72.5252188,1,0,0
1119,42.1249785,-72.5112103,1,0,0
1128,42.0922958,-72.4891351,1,0,0
1129,42.1186705,-72.4882031,1,0,0
1151,42.1518602,-72.5091312,1,0,0
1199,42.1205631,-72.6044677,1,0,0
1201,42.4482361,-73.2737268,1,0,0
1220,42.6238077,-73.1167407,1,0,0
1222,42.058703,-73.3221751,0,0,0
92376,34.1116055,-117.3774058,1,0,0
92377,34.156043,-117.4041202,1,0,0
92378,34.2260832,-117.2259311,1,0,0
92382,34.2052865,-117.1174028,1,0,0
92384,36.0077057,-116.1784784,0,0,0
86431,35.4155777,-114.2198246,0,0,0
92385,34.2147408,-117.192326,1,0,0
92386,34.2372289,-116.8276947,1,0,0
92389,35.9009606,-116.1863574,0,0,0
92391,34.2379101,-117.2347931,1,0,0
86432,36.3666336,-113.4465724,1,0,0
86433,34.9175644,-114.3488086,0,0,0
86434,35.6766508,-113.6205509,0,0,0
86435,36.044172,-112.9038904,0,0,0
92392,34.4802467,-117.4081853,1,0,0
86436,34.7570871,-114.3850082,0,0,0
86437,35.3788495,-113.6140846,0,0,0
92394,34.5561107,-117.3536323,1,0,0
86438,34.5489252,-113.8054215,0,0,0
86440,34.8966845,-114.5253111,1,0,0
92395,34.5014721,-117.2920479,1,0,0
92397,34.374009,-117.6284287,1,0,0
92398,34.915975,-116.8658259,0,0,0
86441,35.5714384,-114.3723857,0,0,0
92399,34.0323124,-117.010577,1,0,0
92401,34.1047949,-117.2921521,1,0,0
92404,34.1783362,-117.2514582,1,0,0
