q_id,q_set,opt1_a2,opt1_a3,opt2_a2,opt2_a3
Q301,3,3,12,7,32
Q302,3,3,18,0,12
Q303,3,3,18,0,18
Q304,3,3,18,0,32
Q305,3,3,18,3,12
Q306,3,3,18,3,18
Q307,3,3,18,3,32
Q308,3,3,18,7,12
Q309,3,3,18,7,18
Q310,3,3,18,7,32
Q311,3,3,32,0,12
Q312,3,3,32,0,18
Q313,3,3,32,0,32
Q314,3,3,32,3,12
Q315,3,3,32,3,18
Q316,3,3,32,3,32
Q317,3,3,32,7,12
Q318,3,3,32,7,18
Q319,3,3,32,7,32
Q320,3,7,12,0,12
Q321,3,7,12,0,18
Q322,3,7,12,0,32
Q323,3,7,12,3,12
Q324,3,7,12,3,18
Q325,3,7,12,3,32
Q326,3,7,12,7,12
Q327,3,7,12,7,18
Q328,3,7,12,7,32
Q329,3,7,18,0,12
Q330,3,7,18,0,18
Q331,3,7,18,0,32
Q332,3,7,18,3,12
Q333,3,7,18,3,18
Q334,3,7,18,3,32
Q335,3,7,18,7,12
Q336,3,7,18,7,18
Q337,3,7,18,7,32
Q338,3,7,32,0,12
Q339,3,7,32,0,18
Q340,3,7,32,0,32
Q341,3,7,32,3,12
Q342,3,7,32,3,18
Q343,3,7,32,3,32
Q344,3,7,32,7,12
Q345,3,7,32,7,18
Q346,3,7,32,7,32
