INTR_PER_ACRE,RAPID_TRANSIT_ACCESS,TOTAL_EMPLOYMENT,JOBS_PPL_PER_ARCE,POP_FEMALE_PERC,POP_AGE_18_34_PERC,POP_AGE_45_64_PERC,POP_AGE_65_PERC,EDU_2_PERC,RACE_BAA_PERC,RACE_OTHER,VEH_1,TENURE_OWN_PERC,AVG_HH_SIZE_RENT,CONNECTED_NODE_RATIO,TRIP_ORIGINS,TRIP_DESTI,TRIP_ACTIV,TRIP_VMT,RESIDENTIAL_ROADS_PERC
1.13,0,1496,12.07,0.42,0.27,0.191,0.09,0.04,0.12,404,266,0.41,3.4,0.22,20,5,25,359,0.62
0.64,0,2233,10,0.5,0.3,0.235,0.05,0.04,0.04,741,405,0.43,3.4,0.2,13,4,17,183,0.66
0.51,0,3815,8.51,0.58,0.33,0.154,0.08,0.01,0,78,188,0.38,3.89,0.17,48,33,81,216,0.6
0.4,0,1457,10.47,0.1,0.54,0.186,0.02,0.03,0.15,1120,97,0.51,3.29,0.11,3,7,10,65,0.72
0.42,0,2495,4.48,0.52,0.26,0.25,0.06,0.02,0.1,826,172,0.52,4.15,0.21,29,17,46,1356,0.63
0.93,0,3539,8.77,0.45,0.25,0.195,0.21,0.07,0.04,370,226,0.24,2.44,0.17,73,53,126,1185,0.61
1.09,0,9608,22.68,0.46,0.19,0.322,0.2,0.36,0.01,256,969,0.49,1.62,0.18,310,316,626,2055,0.56
1.59,0,2155,9.95,0.51,0.15,0.287,0.34,0.28,0,119,438,0.71,1.34,0.15,63,77,140,662,0.82
1.07,0,1425,6.92,0.47,0.24,0.281,0.19,0.16,0,921,365,0.76,1.69,0.17,3,30,33,230,0.78
1.31,0,3405,10.75,0.46,0.19,0.243,0.17,0.13,0.04,424,579,0.69,2.42,0.12,0,53,53,198,0.61
1.49,0,2327,10.82,0.52,0.23,0.272,0.15,0.17,0.01,365,152,0.72,2.8,0.15,0,4,4,66,0.8
1.26,0,891,4.64,0.52,0.13,0.251,0.32,0.22,0.03,285,299,0.84,3.96,0.12,1,14,15,142,0.74
1.36,0,723,9.18,0.56,0.21,0.275,0.22,0.16,0,478,669,0.77,2.49,0.21,0,15,15,158,0.76
