INTR_PER_ACRE,RAPID_TRANSIT_ACCESS,TOTAL_EMPLOYMENT,JOBS_PPL_PER_ARCE,POP_FEMALE_PERC,POP_AGE_18_34_PERC,POP_AGE_45_64_PERC,POP_AGE_65_PERC,EDU_2_PERC,RACE_BAA_PERC,RACE_OTHER,VEH_1,TENURE_OWN_PERC,AVG_HH_SIZE_RENT,CONNECTED_NODE_RATIO,TRIP_ORIGINS,TRIP_DESTI,TRIP_ACTIV,TRIP_VMT,RESIDENTIAL_ROADS_PERC
0.74,0,480,5.86,0.48,0.17,0.27,0.31,0.08,0,283,724,0.81,2.76,0.19,0,10,10,57,0.73
0.58,0,2516,6.38,0.47,0.13,0.28,0.38,0.06,0,192,198,0.76,2.05,0.16,0,1,1,21,0.76
0.66,0,909,6.88,0.53,0.29,0.239,0.1,0.08,0.15,776,377,0.79,3.73,0.22,0,4,4,49,0.8
0.95,0,96,8.32,0.48,0.26,0.199,0.08,0.08,0.27,1025,303,0.7,4.07,0.18,0,15,15,76,0.69
1.46,0,947,10.24,0.5,0.2,0.192,0.1,0.11,0.1,666,452,0.78,3.82,0.14,0,6,6,38,0.86
2.05,0,23,9.07,0.49,0.2,0.301,0.16,0.2,0,131,205,0.88,2.76,0.14,13,6,19,90,0.93
1.2,0,1864,8.22,0.55,0.18,0.265,0.31,0.19,0.04,370,578,0.73,2.18,0.17,225,252,477,2280,0.81
1.5,0,4907,26.14,0.54,0.32,0.245,0.08,0.18,0.13,180,521,0.29,2.08,0.1,70,59,129,2247,0.79
1.08,0,296,5.79,0.49,0.13,0.347,0.15,0.26,0,441,62,0.96,3.36,0.15,68,69,137,183,0.87
1,0,157,9.03,0.54,0.27,0.191,0.13,0.13,0.21,387,302,0.48,3.26,0.16,28,30,58,160,0.71
1.26,0,2313,10.88,0.54,0.24,0.262,0.07,0.22,0.1,1473,1236,0.4,2.08,0.13,216,209,425,2172,0.69
0.18,0,91,0.64,0.51,0.18,0.21,0.11,0.1,0.08,581,196,0.83,3.2,0.21,0,14,14,58,0.8
0.53,0,768,3.14,0.49,0.06,0.19,0.6,0.28,0,219,263,0.94,1.86,0.18,0,0,0,0,0.84
0.56,0,27,14.52,0.49,0.26,0.224,0.11,0.03,0.01,1518,257,0.61,3.65,0.41,12,1,13,40,0.88
1.12,0,1541,7.48,0.51,0.25,0.198,0.1,0.12,0.02,546,101,0.69,3.7,0.17,59,45,104,436,0.64
0.77,0,266,18.86,0.49,0.25,0.239,0.06,0.03,0.05,2294,417,0.58,4.36,0.35,35,6,41,227,0.89
0.71,0,1343,22.46,0.49,0.24,0.198,0.06,0.03,0.06,2158,303,0.62,4.58,0.37,33,40,73,83,0.83
1.12,0,130,8.63,0.51,0.23,0.222,0.1,0.04,0.06,1186,304,0.68,4.52,0.18,19,16,35,208,0.88
1.31,0,4742,12.38,0.49,0.28,0.234,0.09,0.02,0.08,472,450,0.34,2.78,0.14,98,76,174,1041,0.55
1.18,0,420,10.56,0.57,0.27,0.265,0.14,0.11,0.12,455,662,0.6,2.1,0.17,22,19,41,158,0.78
0.61,0,594,4.43,0.49,0.2,0.304,0.29,0.23,0,153,56,0.98,2.83,0.2,0,9,9,113,0.67
0.59,0,1104,8.18,0.49,0.34,0.235,0.08,0.1,0.03,325,765,0.45,2.65,0.25,0,54,54,200,0.67
1.68,0,4679,16.81,0.54,0.21,0.26,0.19,0.12,0.05,392,787,0.48,2.13,0.12,1,26,27,243,0.69
0.66,0,711,7.67,0.53,0.22,0.291,0.19,0.08,0.01,349,221,0.79,3.05,0.25,0,3,3,65,0.75
0.86,0,331,9.67,0.52,0.19,0.287,0.13,0.08,0.04,452,205,0.68,2.87,0.23,5,15,20,30,0.87
0.84,0,443,5.9,0.56,0.27,0.233,0.15,0.11,0.08,264,102,0.78,3.48,0.21,1,10,11,138,0.74
1.1,0,398,10.03,0.57,0.22,0.253,0.13,0.09,0.04,401,563,0.72,3.37,0.24,17,21,38,275,0.76
0.95,0,1710,3.66,0.55,0.17,0.282,0.23,0.2,0,576,263,0.87,2.79,0.13,29,19,48,533,0.88
1.25,0,854,8,0.52,0.15,0.301,0.25,0.18,0.02,258,536,0.64,1.77,0.16,29,39,68,217,0.76
1.48,0,872,8.31,0.52,0.16,0.257,0.19,0.21,0.01,250,187,0.92,3.49,0.2,47,35,82,1704,0.77
0.47,0,2537,1.5,0.46,0.13,0.344,0.3,0.19,0.01,147,940,0.75,1.42,0.1,70,46,116,4861,0.87
0.92,0,605,15.96,0.49,0.3,0.157,0.08,0.02,0.13,513,545,0.25,3.16,0.21,14,14,28,140,0.7
1.14,0,187,19.4,0.53,0.2,0.174,0.06,0.05,0.11,1423,750,0.25,3.36,0.17,18,23,41,173,0.82
0.79,0,9224,34.44,0.51,0.64,0.085,0.05,0.01,0.05,393,171,0.23,2.16,0.15,100,117,217,482,0.76
1.51,1,3059,16.81,0.54,0.28,0.207,0.09,0.1,0.18,1335,1447,0.36,2.42,0.12,185,204,389,837,0.59
1.1,1,3196,10.92,0.54,0.2,0.321,0.19,0.26,0.02,210,578,0.72,1.65,0.14,253,236,489,1063,0.72
1.34,0,7543,18.35,0.51,0.27,0.29,0.13,0.28,0.06,273,1035,0.5,1.77,0.14,292,184,476,2838,0.71
1.61,0,8754,12.29,0.5,0.06,0.318,0.48,0.42,0.01,16,518,0.78,1.37,0.11,161,183,344,1138,0.68
0.99,0,819,6.76,0.44,0.24,0.256,0.11,0.23,0.09,107,352,0.63,2.17,0.18,94,63,157,1266,0.76
0.93,0,1477,17.08,0.54,0.33,0.203,0.09,0.12,0.13,516,1242,0.25,2.59,0.21,84,129,213,430,0.77
0.96,1,1463,17.54,0.44,0.4,0.153,0.04,0.09,0.14,509,539,0.01,2.71,0.13,40,22,62,1183,0.73
1.72,0,750,11.22,0.52,0.16,0.308,0.11,0.19,0.06,866,730,0.65,2.73,0.13,79,86,165,687,0.68
1.22,0,313,5.79,0.5,0.19,0.32,0.11,0.2,0.06,139,274,0.84,3.67,0.12,64,27,91,576,0.72
1.65,0,151,9.35,0.5,0.18,0.357,0.13,0.24,0,209,251,0.74,2.32,0.18,11,2,13,333,0.89
0.95,0,1186,15.99,0.53,0.39,0.207,0.04,0.19,0.14,445,810,0.23,2.07,0.12,129,81,210,1779,0.74
1.04,0,614,14.95,0.53,0.32,0.195,0.15,0.19,0.17,386,478,0.32,2.25,0.14,115,123,238,381,0.65
1.26,0,5509,14.94,0.49,0.26,0.295,0.08,0.19,0.11,1303,552,0.7,2.17,0.15,408,328,736,2205,0.74
1.53,0,422,11.32,0.54,0.26,0.255,0.07,0.18,0.11,593,680,0.45,2.55,0.13,62,47,109,283,0.64
0.52,0,523,2.52,0.55,0.12,0.345,0.25,0.3,0.02,146,219,0.95,2.66,0.12,63,75,138,365,0.77
1.38,0,13585,33.1,0.61,0.22,0.305,0.34,0.34,0,24,362,0.39,1.58,0.09,178,99,277,600,0.1
0.28,0,1653,1.03,0.49,0.07,0.364,0.41,0.34,0.01,61,93,0.94,1.44,0.14,0,6,6,210,0.72
0.87,1,244,12.03,0.5,0.44,0.14,0.14,0.07,0.04,643,461,0.45,2.89,0.19,91,64,155,3084,0.51
1.28,0,2616,14.91,0.48,0.38,0.179,0.13,0.16,0.06,1045,689,0.53,3.02,0.19,401,277,678,4175,0.77
1.34,0,1975,9.37,0.5,0.26,0.284,0.17,0.24,0.03,265,404,0.69,3.15,0.16,143,82,225,4343,0.82
0.4,0,243,3.23,0.5,0.18,0.235,0.27,0.14,0,613,419,0.82,3.43,0.19,19,23,42,729,0.68
1.03,0,473,3.5,0.5,0.16,0.332,0.17,0.18,0.03,134,234,0.9,3.64,0.16,29,19,48,1100,0.69
0.71,0,706,12.39,0.49,0.37,0.219,0.12,0.18,0,105,238,0.71,2.96,0.22,41,41,82,527,0.73
0.58,0,2075,6.43,0.56,0.29,0.233,0.08,0.02,0.05,440,158,0.38,3.58,0.2,35,27,62,270,0.61
0.53,0,2353,1.51,0.56,0.19,0.277,0.34,0.12,0,631,467,0.64,1.93,0.13,0,2,2,90,0.9
0.86,0,473,15.02,0.53,0.27,0.191,0.11,0.07,0.06,1653,758,0.57,3.77,0.24,94,87,181,393,0.82
1.15,0,259,8.8,0.48,0.25,0.244,0.17,0.11,0.03,275,412,0.78,3.72,0.21,1,14,15,169,0.79
1.65,0,5391,14.74,0.51,0.27,0.263,0.17,0.12,0.01,449,458,0.6,1.77,0.12,0,24,24,400,0.59
1.4,1,1389,12.61,0.51,0.26,0.191,0.09,0.03,0.1,1488,1106,0.53,3.45,0.2,113,66,179,2340,0.62
0.6,0,563,12.02,0.47,0.27,0.202,0.05,0.01,0.05,1261,313,0.44,3.08,0.33,31,26,57,163,0.69
0.99,0,249,14.62,0.49,0.28,0.21,0.06,0.05,0.08,977,512,0.39,3.32,0.2,30,6,36,139,0.7
0.94,0,1029,7.72,0.52,0.16,0.242,0.26,0.04,0.02,659,309,0.39,2.11,0.2,1,21,22,40,0.86
2.25,0,2495,11.82,0.53,0.19,0.259,0.27,0.3,0.03,244,306,0.73,1.79,0.13,76,52,128,701,0.8
0.94,0,3594,11.73,0.48,0.34,0.248,0.05,0.04,0.15,600,603,0.19,2.57,0.13,47,22,69,937,0.52
0.97,0,2354,16.96,0.56,0.27,0.239,0.08,0.07,0,2234,888,0.61,4.28,0.21,75,81,156,392,0.8
1.05,0,2329,4.7,0.53,0.08,0.295,0.41,0.25,0,62,1057,0.65,1.69,0.12,20,35,55,160,0.76
1.19,0,3998,15.49,0.51,0.33,0.257,0.11,0.08,0.04,720,499,0.48,2.92,0.19,0,5,5,46,0.78
0.72,0,624,4.53,0.5,0.17,0.366,0.23,0.23,0.02,124,95,0.97,2.96,0.16,142,139,281,571,0.75
0.56,0,188,14.9,0.53,0.29,0.16,0.06,0.02,0.07,1482,429,0.32,3.72,0.36,19,20,39,124,0.8
1.16,1,1353,16.21,0.48,0.26,0.222,0.08,0.04,0.03,860,397,0.52,3.43,0.17,16,17,33,234,0.76
0.7,1,850,13.93,0.5,0.3,0.228,0.09,0.1,0.02,424,381,0.59,2.98,0.24,50,124,174,115,0.89
0.9,0,530,8.04,0.48,0.28,0.203,0.09,0.11,0.04,717,501,0.43,2.63,0.16,53,48,101,1504,0.7
0.88,0,148,11.72,0.53,0.25,0.222,0.13,0.1,0.03,399,234,0.75,3.36,0.3,34,10,44,150,0.87
1.3,0,1944,14.52,0.5,0.34,0.209,0.09,0.1,0.06,814,1292,0.41,2.46,0.14,3,112,115,816,0.68
1.42,0,699,11.24,0.43,0.28,0.264,0.13,0.08,0.03,874,563,0.77,3.24,0.23,75,63,138,295,0.78
1.14,0,153,4.94,0.56,0.03,0.209,0.75,0.09,0.03,48,412,0.76,1.33,0.17,26,23,49,98,0.7
1.25,0,20,16.04,0.55,0.29,0.163,0.06,0.02,0.09,1322,257,0.57,4.04,0.19,40,44,84,157,0.88
0.96,0,1643,12.04,0.49,0.32,0.227,0.09,0.15,0.05,684,874,0.39,2.49,0.21,139,156,295,562,0.72
0.84,0,2348,11.67,0.57,0.31,0.219,0.09,0.04,0.15,692,339,0.64,3.92,0.17,40,39,79,277,0.77
0.91,1,836,17.29,0.46,0.31,0.193,0.05,0.03,0,1220,512,0.3,3.02,0.22,17,12,29,126,0.8
1.11,0,2658,26.88,0.53,0.29,0.189,0.07,0.02,0.05,2080,507,0.45,3.82,0.22,39,24,63,195,0.77
0.54,0,874,1.26,0.52,0.1,0.367,0.34,0.25,0.01,278,355,0.9,3.56,0.1,0,12,12,58,0.73
1.29,0,38,18.44,0.45,0.26,0.227,0.08,0.02,0.02,2934,224,0.67,5.08,0.21,39,17,56,308,0.79
0.59,0,1510,11.75,0.52,0.28,0.276,0.08,0.12,0.08,362,239,0.69,3.04,0.26,56,47,103,371,0.84
1.16,0,749,1.64,0.52,0.08,0.32,0.32,0.24,0,61,189,0.92,1.75,0.08,81,46,127,964,0.79
0.84,0,1759,9.62,0.51,0.18,0.235,0.21,0.13,0.08,293,262,0.81,2.71,0.24,33,35,68,270,0.85
1.38,0,1016,13.07,0.48,0.23,0.299,0.14,0.07,0.06,472,562,0.65,3.42,0.18,46,38,84,195,0.8
1.22,0,405,17.27,0.53,0.31,0.188,0.08,0.04,0.12,855,793,0.5,2.92,0.16,197,168,365,766,0.66
0.47,0,101,11.72,0.48,0.28,0.182,0.09,0.03,0.05,1688,379,0.61,4.09,0.33,24,22,46,171,0.82
0.94,0,768,8.63,0.48,0.12,0.245,0.2,0.17,0.01,297,237,0.78,2.61,0.23,51,52,103,341,0.85
0.74,0,1896,12.5,0.54,0.23,0.292,0.18,0.22,0.01,246,635,0.7,2.22,0.24,165,126,291,948,0.78
1.86,1,14356,57.82,0.54,0.7,0.096,0.09,0.14,0.08,394,885,0.03,1.43,0.16,357,378,735,1436,0.62
0.97,0,153,16.92,0.49,0.29,0.19,0.07,0.02,0.03,1023,391,0.66,2.9,0.29,40,21,61,474,0.81
1.16,0,992,5.14,0.57,0.05,0.218,0.67,0.07,0.04,183,556,0.71,1.89,0.15,16,13,29,181,0.72
0.69,0,388,7.35,0.54,0.24,0.284,0.09,0.08,0.04,707,133,0.79,3.51,0.26,126,127,253,306,0.8
0.07,0,16086,0.44,0.5,0.23,0.259,0.17,0.04,0,6105,557,0.8,3.55,0.13,788,604,1392,0,0.56
0.78,0,4337,12.63,0.5,0.26,0.183,0.09,0.03,0.01,405,196,0.54,4.47,0.21,22,18,40,196,0.67
1.02,0,731,22.84,0.56,0.28,0.225,0.07,0.07,0.26,254,1153,0.31,2.73,0.15,34,20,54,127,0.82
0.2,0,996,0.29,0.47,0.07,0.354,0.44,0.29,0.06,56,283,0.93,3.72,0.11,0,8,8,142,0.76
0.84,0,969,8.7,0.52,0.24,0.267,0.14,0.11,0.02,321,463,0.6,2.13,0.26,0,20,20,87,0.72
0.83,0,775,12.23,0.43,0.25,0.229,0.07,0.05,0.1,1457,867,0.49,2.72,0.19,54,54,108,202,0.73
0.73,0,196,11.36,0.52,0.33,0.209,0.08,0.03,0.06,302,259,0.38,2.6,0.2,5,9,14,47,0.78
0.92,1,236,12.67,0.51,0.3,0.214,0.05,0.07,0.02,912,489,0.26,2.65,0.25,26,13,39,214,0.54
0.7,0,917,8.22,0.52,0.33,0.216,0.11,0.15,0.06,348,704,0.59,2.23,0.19,92,135,227,489,0.68
0.72,1,138,17.54,0.53,0.26,0.212,0.08,0.02,0.05,1036,365,0.22,3.21,0.22,7,7,14,80,0.83
0.01,0,984,0.01,0.47,0.24,0.254,0.14,0.03,0.01,544,388,0.68,3.5,0.06,0,4,4,1628,0.69
0.95,0,853,16.6,0.48,0.27,0.266,0.05,0.08,0.03,1234,536,0.52,3.48,0.2,41,14,55,269,0.8
0.94,0,533,7.11,0.47,0.21,0.31,0.17,0.18,0.01,140,86,0.86,3.03,0.21,0,19,19,181,0.76
1.29,0,433,8.53,0.49,0.22,0.341,0.13,0.1,0.05,339,231,0.8,3.12,0.15,39,43,82,241,0.86
1.25,0,2284,11,0.52,0.22,0.225,0.1,0.14,0.08,375,509,0.59,2.61,0.14,0,34,34,856,0.57
1.13,0,2347,17.91,0.4,0.51,0.161,0.1,0.21,0.05,1691,1207,0.36,2.81,0.18,193,167,360,1374,0.68
0.51,0,7043,2.86,0.54,0.08,0.213,0.6,0.13,0.01,164,324,0.85,2.17,0.15,58,37,95,1452,0.55
1,1,750,12.53,0.5,0.18,0.258,0.07,0.08,0.11,178,395,0.38,3.16,0.22,37,25,62,332,0.69
1.36,0,121,15.07,0.48,0.24,0.242,0.1,0.02,0.05,634,207,0.62,3.77,0.18,53,17,70,366,0.79
0.82,0,441,10.6,0.53,0.26,0.291,0.11,0.12,0.01,743,275,0.8,3.58,0.26,1,12,13,98,0.82
0.95,0,2085,10.34,0.47,0.22,0.347,0.13,0.12,0.08,266,520,0.56,2.38,0.2,0,28,28,109,0.74
1.11,0,96,24.79,0.49,0.24,0.227,0.07,0.03,0.05,3122,775,0.37,3.35,0.25,10,9,19,167,0.74
1.54,1,18457,57.72,0.48,0.39,0.35,0.07,0.18,0.1,74,139,0.25,1.26,0.16,73,53,126,309,0.57
0.86,0,379,13.35,0.54,0.28,0.179,0.07,0.03,0.2,1067,909,0.55,3.56,0.26,53,49,102,396,0.86
0.62,0,942,1.9,0.5,0.08,0.375,0.39,0.24,0,57,173,0.85,2.22,0.11,30,15,45,276,0.64
0.74,0,3644,10.37,0.56,0.19,0.321,0.3,0.37,0.02,84,702,0.67,1.78,0.13,231,158,389,0,0.46
0.82,0,276,11.36,0.52,0.31,0.266,0.12,0.12,0.04,383,859,0.42,1.94,0.2,41,72,113,379,0.71
0.89,0,359,13.22,0.49,0.23,0.253,0.14,0.02,0.01,4462,571,0.49,3.59,0.22,53,31,84,3711,0.85
1.46,1,18192,32.87,0.54,0.32,0.3,0.19,0.14,0.07,283,415,0.12,1.59,0.17,165,166,331,823,0.59
0.72,0,389,12.57,0.52,0.31,0.257,0.12,0.2,0,475,694,0.61,2.54,0.26,19,19,38,261,0.84
2.3,0,71,4.97,0.56,0.04,0.191,0.71,0.15,0,162,243,0.86,1.9,0.15,11,4,15,109,0.93
0.02,0,316,0.05,0.52,0.28,0.179,0.07,0.03,0.02,2923,323,0.57,3.93,0.08,15,10,25,366,0.56
0.07,0,1046,0.08,0.47,0.23,0.285,0.09,0.03,0,962,72,0.81,3.75,0.06,17,17,34,273,0.79
0.22,0,676,1.35,0.49,0.22,0.215,0.17,0.07,0.01,1181,642,0.72,3.23,0.18,0,0,0,23,0.77
0.12,0,4245,1.1,0.52,0.27,0.228,0.11,0.02,0.02,1229,568,0.47,3.43,0.17,0,0,0,1,0.67
0.03,0,425,0.1,0.41,0.24,0.239,0.17,0.03,0.03,1537,189,0.82,3.11,0.18,0,1,1,24,0.84
0.13,0,544,0.16,0.55,0.21,0.272,0.29,0.06,0,344,185,0.78,2.68,0.08,0,0,0,136,0.83
0.21,0,4441,0.73,0.52,0.1,0.246,0.37,0.15,0,313,258,0.76,3.05,0.1,0,2,2,31,0.77
0.41,0,277,0.81,0.54,0.08,0.279,0.35,0.24,0,82,246,0.74,2.4,0.13,0,0,0,1,0.9
0.01,0,979,0.01,0.39,0.26,0.147,0.07,0.06,0,64,97,0.16,2.84,0.04,0,1,1,81,0.73
0.89,0,7853,10.3,0.47,0.3,0.229,0.26,0.09,0,423,619,0.3,1.97,0.14,0,1,1,4,0.73
0.15,0,451,0.07,0.52,0.1,0.363,0.27,0.13,0,90,302,0.81,2.26,0.04,0,0,0,87,0.9
0.03,0,1852,0.05,0.47,0.12,0.299,0.35,0.11,0.01,882,775,0.83,3.1,0.11,0,0,0,76,0.76
0.02,0,1551,0.09,0.52,0.14,0.348,0.22,0.07,0,536,846,0.76,2.73,0.19,0,1,1,21,0.84
0.28,0,3981,0.91,0.44,0.31,0.227,0.32,0.13,0.01,402,167,0.76,2,0.12,0,1,1,25,0.72
0.03,0,470,0.01,0.49,0.26,0.289,0.25,0.05,0.01,784,373,0.86,2.05,0.04,0,1,1,904,0.89
0.51,0,857,1.08,0.5,0.15,0.245,0.4,0.16,0.02,218,475,0.65,1.6,0.12,0,0,0,2,0.96
1.05,0,1180,3.43,0.51,0.17,0.286,0.39,0.18,0.02,139,254,0.53,1.76,0.1,0,0,0,1,0.84
0.39,0,1550,0.79,0.54,0.1,0.294,0.34,0.19,0.01,231,245,0.7,1.8,0.09,0,1,1,3,0.79
2.29,0,259,4.35,0.57,0.03,0.275,0.69,0.22,0.01,39,162,0.91,1.6,0.16,0,1,1,11,0.81
0.81,1,14842,27.5,0.54,0.35,0.12,0.1,0.18,0.11,242,620,0.23,2.68,0.11,144,104,248,695,0.08
2.11,0,1009,14.58,0.49,0.27,0.287,0.2,0.14,0.04,317,588,0.52,2.16,0.14,23,18,41,150,0.76
0.97,0,331,12.95,0.46,0.19,0.286,0.15,0.11,0.04,672,866,0.43,2.46,0.25,28,30,58,66,0.82
0.84,0,556,2,0.5,0.11,0.346,0.24,0.26,0.02,203,178,0.96,3.02,0.15,77,42,119,898,0.72
0.49,0,623,3.93,0.52,0.25,0.182,0.07,0.05,0.07,1100,202,0.74,4.12,0.2,78,69,147,354,0.77
0.47,0,16196,5.87,0.4,0.3,0.117,0.06,0.03,0.16,26,218,0.33,2.62,0.1,143,111,254,4365,0.21
0.58,0,6910,8.54,0.5,0.29,0.192,0.04,0.04,0.07,1330,762,0.64,3.88,0.18,43,25,68,457,0.66
0.95,0,478,7.04,0.48,0.16,0.335,0.14,0.27,0.02,267,220,0.73,2.12,0.17,0,2,2,64,0.74
1.5,0,1750,4.79,0.52,0.07,0.247,0.3,0.19,0.03,306,190,0.89,3.25,0.13,0,31,31,178,0.67
0.91,0,735,6.66,0.54,0.13,0.232,0.08,0.23,0.06,240,263,0.84,3.51,0.18,0,79,79,185,0.74
1.38,0,980,5.35,0.51,0.11,0.274,0.09,0.21,0.01,459,116,0.97,5.3,0.15,0,31,31,155,0.8
0.78,0,1079,3.6,0.5,0.07,0.353,0.08,0.19,0.02,305,168,0.91,2.44,0.16,0,18,18,126,0.72
0.44,0,779,3.16,0.48,0.1,0.319,0.13,0.22,0.03,128,64,0.96,2.49,0.26,0,6,6,149,0.7
0.85,0,113,4.06,0.54,0,0.176,0.81,0.26,0.02,38,147,0.92,1.59,0.18,0,11,11,67,0.84
0.61,0,2257,1.86,0.49,0.11,0.352,0.3,0.28,0,365,54,0.93,3.05,0.13,142,98,240,1566,0.8
0.72,1,550,14.24,0.49,0.27,0.245,0.13,0.05,0.11,348,568,0.13,2.35,0.17,63,49,112,312,0.55
1.34,1,145,18.71,0.55,0.25,0.218,0.09,0.06,0.21,393,846,0.38,3.4,0.17,30,29,59,139,0.73
1.12,0,3521,21.55,0.47,0.28,0.274,0.16,0.24,0.05,441,921,0.41,1.78,0.18,82,50,132,346,0.8
1.83,1,475,34.58,0.52,0.38,0.172,0.06,0.05,0.23,579,736,0.14,2.8,0.16,59,77,136,155,0.67
1.48,1,145,7.8,0.51,0.2,0.24,0.2,0.2,0.04,226,201,0.8,2.81,0.2,37,12,49,258,0.8
1.18,1,1931,11.82,0.53,0.2,0.256,0.18,0.11,0.05,433,456,0.53,2.58,0.15,90,74,164,477,0.57
1.02,0,4086,23.68,0.43,0.26,0.276,0.18,0.23,0.09,643,995,0.36,1.82,0.21,64,66,130,272,0.77
1.25,0,6886,31.09,0.51,0.2,0.252,0.12,0.22,0.05,753,554,0.52,2.2,0.17,136,114,250,652,0.71
1.41,0,4713,14.35,0.56,0.22,0.268,0.18,0.31,0.01,167,500,0.65,1.49,0.17,68,63,131,994,0.73
1.39,0,5341,24.29,0.47,0.35,0.252,0.09,0.17,0,546,359,0.44,2.18,0.15,407,364,771,2795,0.68
0.27,0,11407,3.07,0.54,0.32,0.186,0.05,0.08,0.17,910,480,0.6,3.9,0.17,72,76,148,889,0.53
0.56,1,28566,8.49,0,0,0,0,0,0,0,0,0,0,0.07,955,842,1797,21202,0.14
0.53,0,270,4.87,0.5,0.21,0.211,0.06,0.1,0.23,1147,290,0.74,3.78,0.21,16,14,30,168,0.76
0.86,0,291,24.98,0.49,0.44,0.166,0.08,0.09,0.04,1044,1167,0.23,2.37,0.24,0,7,7,52,0.55
1.01,0,34,16.42,0.54,0.28,0.193,0.11,0.09,0.05,267,887,0.56,2.68,0.22,0,13,13,56,0.76
0.8,0,379,19.11,0.52,0.3,0.279,0.06,0.15,0.07,840,1074,0.37,2.41,0.25,0,49,49,112,0.66
1.29,0,1168,11.33,0.45,0.22,0.254,0.12,0.13,0.02,562,419,0.64,2.95,0.19,0,13,13,186,0.75
0.9,0,452,9.62,0.5,0.19,0.239,0.09,0.22,0.09,629,297,0.81,3.68,0.24,0,36,36,73,0.72
0.76,0,140,4.42,0.56,0.04,0.226,0.6,0.16,0.05,25,182,0.86,1.9,0.23,0,1,1,47,0.74
0.92,0,160,8.48,0.5,0.16,0.267,0.09,0.17,0.07,372,378,0.82,3.14,0.24,0,15,15,25,0.79
1.08,0,2291,10.85,0.52,0.24,0.274,0.1,0.22,0.04,401,325,0.67,2.58,0.2,186,174,360,645,0.65
0.8,0,914,9.34,0.52,0.25,0.262,0.1,0.15,0.04,171,279,0.8,4.42,0.24,85,105,190,357,0.77
1.15,0,223,6.75,0.48,0.19,0.233,0.1,0.18,0.02,156,146,0.79,2.27,0.2,45,47,92,814,0.8
0.88,0,4367,10.71,0.53,0.24,0.196,0.05,0.18,0.09,862,912,0.75,3.36,0.24,276,249,525,1359,0.83
0.82,0,870,6.54,0.52,0.22,0.275,0.07,0.16,0.01,267,154,0.84,4.33,0.24,77,58,135,398,0.83
0.86,0,231,7.47,0.56,0.19,0.217,0.11,0.18,0.01,234,175,0.74,3.86,0.24,24,9,33,324,0.82
1.24,0,14543,56.51,0.46,0.31,0.251,0.14,0.31,0.03,365,1000,0.39,1.87,0.2,178,235,413,870,0.5
1.18,0,1881,42.51,0.49,0.3,0.157,0.03,0.02,0.12,545,717,0.03,3.25,0.18,63,57,120,1558,0.53
1.09,1,1383,26,0.49,0.29,0.181,0.05,0.04,0.21,935,685,0.27,3.18,0.19,30,60,90,402,0.6
0.95,1,963,29.82,0.5,0.26,0.163,0.05,0.03,0.08,847,1034,0.07,3.07,0.14,40,21,61,237,0.68
1.06,0,132,21.38,0.52,0.28,0.21,0.07,0.03,0.04,1464,882,0.5,3.5,0.24,17,10,27,232,0.82
1.64,1,25095,80.45,0.43,0.31,0.306,0.1,0.23,0.05,439,850,0.23,1.6,0.11,202,198,400,594,0.61
1.45,1,23401,80.33,0.46,0.37,0.212,0.14,0.24,0.04,450,683,0.32,1.51,0.18,186,140,326,1058,0.61
0.94,0,1143,10.44,0.49,0.22,0.339,0.15,0.15,0.11,242,263,0.76,2.35,0.23,76,55,131,495,0.76
1.23,0,1218,13.31,0.54,0.23,0.312,0.17,0.18,0.07,444,393,0.32,1.81,0.18,112,68,180,461,0.77
1.25,0,356,16.32,0.47,0.32,0.216,0.09,0.03,0.09,1007,625,0.33,3.04,0.18,36,13,49,3169,0.89
1.12,0,306,4.3,0.54,0.16,0.374,0.11,0.28,0.01,115,144,0.89,2.4,0.13,31,46,77,116,0.73
1.43,0,563,15.91,0.48,0.32,0.175,0.08,0.06,0.25,1071,666,0.4,3.3,0.17,38,23,61,732,0.74
1.04,0,465,3.66,0.49,0.18,0.329,0.12,0.1,0.01,183,236,0.76,2.69,0.15,0,9,9,827,0.74
0.98,0,586,13.19,0.44,0.32,0.283,0.12,0.16,0.03,196,444,0.58,2.87,0.26,0,4,4,35,0.86
0.77,0,701,15.52,0.52,0.31,0.198,0.15,0.22,0.02,401,901,0.56,2.06,0.39,0,21,21,77,0.77
1.06,0,645,8.29,0.51,0.19,0.249,0.13,0.25,0,422,590,0.72,2.62,0.21,1,24,25,212,0.77
0.66,0,6926,14.59,0.5,0.3,0.285,0.05,0.3,0.06,397,122,0.58,2.95,0.12,64,87,151,659,0.77
0.92,0,2103,6.85,0.51,0.15,0.319,0.19,0.26,0.01,432,118,0.94,2.87,0.19,64,56,120,1479,0.87
1.15,0,796,10.88,0.49,0.25,0.277,0.11,0.23,0.01,622,748,0.62,2.4,0.21,99,39,138,1490,0.71
0.9,0,133,6,0.55,0.29,0.182,0.04,0.13,0.04,396,584,0.58,2.84,0.14,59,29,88,628,0.72
0.57,0,273,6.2,0.49,0.29,0.204,0.13,0.14,0.07,479,625,0.7,2.36,0.22,9,39,48,797,0.68
0.69,0,172,6.51,0.48,0.19,0.253,0.29,0.16,0,244,449,0.78,2.82,0.24,7,3,10,684,0.87
0.95,0,2592,7.83,0.51,0.37,0.238,0.11,0.16,0.05,339,475,0.34,2.32,0.13,187,189,376,2149,0.56
